#Line fluxes for lensed galaxy SDSS~J1723+3411, from Rigby et al. 2020.  Fluxes are in units of 10^-17 erg/s/cm^2. See latex table for full notes.
# JRR manually commented out duplicate entries for emission lines (C III and [O II]) detected in multiple instruments.
,lineID,wave,spectrograph,Wr,Wr_u,significance,flux,flux_u,dr_flux,dr_flux_u,detected
0,O I 1304,1304.86,MMT/BC,-5.0,,,-4.9,,-6.0,,False
1,O I 1306,1306.03,MMT/BC,-5.0,,,-4.7,,-5.8,,False
2,Si II 1309,1309.28,MMT/BC,-5.7,,,-4.6,,-5.8,,False
3,C II 1335a,1334.58,MMT/BC,-12,,,4.1,,5.1,,False
4,C II 1335b,1335.66,MMT/BC,-11,,,4.05,,5.0,,False
5,C II 1335c,1335.71,MMT/BC,-11,,,4.05,,5.0,,False
6,He II 1640,1640.42,MMT/BC,-0.64,0.1,11.,6.4,1.4,7.8,1.8,True
7,O III] 1660,1660.81,MMT/BC,-0.15,,,1.7,0.4,2.1,0.5,True
8,O III] 1666,1666.15,MMT/BC,-0.48,0.1,9.5,5.0,1,6.1,1.5,True
9,N III] 1750,1749.7,Keck/ESI,-0.21,,,1.0,,1.22,,False
10,{[}Si III] 1882,1882.71,Keck/ESI,-0.71,0.08,16,7.0,0.8,8.6,1.0,True
11,Si III] 1892,1892.03,Keck/ESI,-0.36,0.08,8.3,3.5,0.7,4.3,0.9,True
#12,{[}C III] 1906,1906.68,MMT/BC,-2.05,0.2,34,17,1.4,21.3,1.7,True
13,{[}C III] 1906,1906.68,Keck/ESI,-1.78,0.08,38,17.3,0.8,21.3,0.96,True
#14,C III] 1908,1908.73,MMT/BC,-1.4,0.2,24,12.0,1,14.85,1.6,True
15,C III] 1908,1908.73,Keck/ESI,-1.23,0.08,27,12.0,0.8,14.8,1,True
16,N II] 2140,2139.68,MMT/BC,-0.228,,,0.73,,0.94,,False
17,{[}O III] 2320,2321.66,Keck/ESI,-0.163,,,0.47,,0.59,,False
18,C II] 2323,2324.21,Keck/ESI,-0.162,,,0.46,,0.58,,False
19,C II] 2325c,2326.11,Keck/ESI,-0.86,0.2,15,5.7,1.2,7.1,1.5,True
20,C II] 2325d,2327.64,Keck/ESI,-0.22,0.1,3.9,1.4,0.9,1.8,1.1,True
21,C II] 2328,2328.84,Keck/ESI,-0.156,,,0.45,,0.55,,False
22,Si II] 2335a,2335.12,Keck/ESI,-0.157,,,0.45,,0.55,,False
23,Si II] 2335b,2335.32,Keck/ESI,-0.155,,,0.45,,0.55,,False
24,Fe II 2365,2365.55,Keck/ESI,-0.26,0.07,7.3,1.7,0.4,2.1,0.5,True
25,Fe II 2396a,2396.15,Keck/ESI,-2.1,0.2,58,13.7,1,16.8,1,True
26,Fe II 2396b,2396.36,Keck/ESI,-0.265,0.1,7.3,1.7,0.8,2.1,1.0,True
27,{[}O II] 2470,2471.03,Keck/ESI,-1.19,0.1,26,7.2,0.7,8.7,0.8,True
28,Fe II 2599,2599.15,Keck/ESI,-0.089,,,0.21,,0.24,,False
29,Fe II 2607,2607.87,Keck/ESI,-0.1075,,,0.25,,0.29,,False
30,Fe II 2612,2612.65,Keck/ESI,-0.41,0.07,11,2.15,0.4,2.6,0.5,True
31,Fe II 2614,2614.61,Keck/ESI,-0.11,,,0.25,,0.29,,False
32,Fe II 2618,2618.4,Keck/ESI,-0.11,,,0.25,,0.29,,False
33,Fe II 2621,2621.19,Keck/ESI,-0.11,,,0.24,,0.28,,False
34,Fe II 2622,2622.45,Keck/ESI,-0.11,,,0.25,,0.29,,False
35,Fe II 2626,2626.45,Keck/ESI,-0.58,0.07,15,3.0,0.4,3.6,0.4,True
36,Fe II 2629,2629.08,Keck/ESI,-0.11,,,0.24,,0.28,,False
37,Fe II 2631,2631.83,Keck/ESI,-0.11,,,0.24,,0.28,,False
38,Fe II 2632,2632.11,Keck/ESI,-0.17,0.09,4.7,0.9,0.5,1.0,0.6,True
39,Mg II 2797,2798.76,Keck/ESI,-0.18,,,0.35,,0.40,,False
40,Mg II 2797,2803.53,Keck/ESI,-0.69,0.09,9.5,3.1,0.4,3.7,0.5,True
41,He I 3187,3188.67,Keck/ESI,-1.1,0.1,21,4.15,0.5,4.8,0.5,True
42,Ne III 3342,3343.14,Keck/ESI,-0.21,0.07,3.7,0.7,0.2,0.84,0.3,True
43,S III 3721,3722.69,Keck/ESI,-0.64,0.1,8.4,1.8,0.3,2.1,0.4,True
44,{[}O II] 3727,3727.092,Keck/ESI,-26.9,0.3,260,76,0.7,86.2,0.84,True
#45,{[}O II] 3727,3727.09,HST/WFC3-IR G102,-55,1,,77,2,87.5,2,True
46,{[}O II] 3729,3729.900,Keck/ESI,-37.8,0.2,350,107,0.7,121.0,0.8,True
#47,{[}O II] 3729,3729.88,HST/WFC3-IR G102,-75.,2,,106,2,120.,3,True
48,H\eta,3836.48,Keck/ESI,-2.1,0.1,25,5.5,0.35,6.2,0.4,True
49,{[}Ne III] 3869,3869.86,HST/WFC3-IR G102,-33,4,,52,6,59,7,True
50,H\zeta; He I,3890.15,HST/WFC3-IR G102,-13,5,,20.,8,23,8.5,True
51,{[}Ne III] 3968,3968.59,HST/WFC3-IR G102,-10,1,,17,2,18.7,2,True
52,H\epsilon,3971.2,HST/WFC3-IR G102,-7.4,2.5,,12,4,13.4,5,True
53,He I 4025; He II,4025,HST/WFC3-IR G102,-5.1,2,,8,4,9.2,4,True
54,H\delta,4102.89,HST/WFC3-IR G102,-16.5,2,,26.,4,29,4,True
55,H\gamma,4341.68,HST/WFC3-IR G102,-43,3,,64,5,71,6,True
56,O III 4363,4364.44,HST/WFC3-IR G102,-1.9,4,,2.8,6,3.1,7,True
57,He I 4471,4472.7,HST/WFC3-IR G102,-3.9,3,,5.4,4,6.0,4.2,True
58,He II 4685,4687.02,HST/WFC3-IR G102,-3.1,3,,4,4,4.3,4.2,True
59,{[}Ar IV] 4741,4741.45,HST/WFC3-IR G102,-3.5,3,,4.,4,4.8,4,True
60,H\beta,4862.68,HST/WFC3-IR G102,-119,3,,142,4,156,5,True
61,{[}O III] 4959,4960.3,HST/WFC3-IR G141,-220,2,,258,4,282,4,True
62,{[}O III] 5007,5008.24,HST/WFC3-IR G141,-690,6,,776,11,849,12,True
63,He I 5875,5877.59,HST/WFC3-IR G141,-14  ,8,,13,7.5,14,8,True
64,O I 6300; S III 6312,6310,HST/WFC3-IR G141,-4.0,10,,3.1,8,3.3,8,True
65,N II 6549,6549.85,HST/WFC3-IR G141,-12.5,0.2,,8.5,0.2,9.1,0.2,True
