# Email from Martha Boyer to Jane Rigby, Sept 20, 2022.
#Here are some preliminary zeropoints from the Cycle 1 data.  They're aren't quite ready for prime time,
#but a quick check with the M92 ERS data suggest they're looking pretty good.
#I used the CALSPEC model for P330E -- I'm pretty sure it's the same one NIRISS is using, but I need to verify.
#I'm working on some data from an A-type star now, and we're getting a white dwarf standard a couple of days
#from now, so we'll have some good comparisons soon.
#
        filter   detector        PHOTMJSR                     std  
   CLEAR+F070W      NRCA1    4.183308652978862    0.011910866930127995  
   CLEAR+F090W      NRCA1    3.036615618032562    0.011878533907124345  
   CLEAR+F115W      NRCA1    2.947929712259784    0.005312714451422673  
   CLEAR+F150W      NRCA1   1.9993513216623375   0.0017635247411891264  
   CLEAR+F200W      NRCA1   1.8533877625594388   0.0038388171904241153  
   CLEAR+F140M      NRCA1    5.053099772051112    0.002603252406642831  
  F162M+F150W2      NRCA1    4.633310242669424    0.002115842843600557  
   CLEAR+F182M      NRCA1    3.447066945586287   0.0019885095016536347  
   CLEAR+F210M      NRCA1    4.379539526085881    0.005183166274972173  
  F164N+F150W2      NRCA1    46.20051641081487     0.13611390248718386  
   CLEAR+F187N      NRCA1      40.783264252401     0.11783101317241036  
   CLEAR+F212N      NRCA1   39.488877425901556       0.090701764660613  
   CLEAR+F070W      NRCA2    4.358881258358111   0.0035577527387800068  
   CLEAR+F090W      NRCA2    3.350671943410034    0.011626164773860248  
   CLEAR+F115W      NRCA2    3.121487645921118     0.04482720195461165  
   CLEAR+F150W      NRCA2    2.118916099767411     0.03345861532317085  
   CLEAR+F200W      NRCA2    2.021101837283981     0.00345037265546444  
   CLEAR+F140M      NRCA2    5.323847936549719    0.013165178881750617  
  F162M+F150W2      NRCA2    4.944575409117296    0.010180234333284854  
   CLEAR+F182M      NRCA2   3.7493079703991987    0.026532956529799367  
   CLEAR+F210M      NRCA2   4.8157953789732035    0.012841898797831597  
  F164N+F150W2      NRCA2   50.144505269190915     0.04903222207623299  
   CLEAR+F187N      NRCA2    44.33401892028738     0.12753239396187183  
   CLEAR+F212N      NRCA2    43.97257289658279      0.2576684604452829  
   CLEAR+F070W      NRCA3    4.128268307044005    0.012897534777033481  
   CLEAR+F090W      NRCA3   3.0014104684234266      0.0413208105720666  
   CLEAR+F115W      NRCA3    2.959204085042869     0.04609344955040795  
   CLEAR+F150W      NRCA3   1.9779607115336801    0.023547584141244027  
   CLEAR+F200W      NRCA3   1.8059696640933545    0.004011784486604664  
   CLEAR+F140M      NRCA3   4.9863389285103015    0.019475865711303886  
  F162M+F150W2      NRCA3    4.468911205450654    0.013514660758590757  
   CLEAR+F182M      NRCA3    3.349500187164423    0.003317291216116791  
   CLEAR+F210M      NRCA3     4.21176554375258      0.0162713572757176  
  F164N+F150W2      NRCA3    44.51247048512824     0.09281553700890811  
   CLEAR+F187N      NRCA3    39.49226356236716     0.08980529353492753  
   CLEAR+F212N      NRCA3     37.9639424470972      0.1500630554451956  
   CLEAR+F070W      NRCA4   3.9105964871255643    0.030519308379608034  
   CLEAR+F090W      NRCA4   2.9776876141861117     0.01763997219652591  
   CLEAR+F115W      NRCA4   2.8008680536674704    0.009350149064757618  
   CLEAR+F150W      NRCA4   1.9018264030474683    0.011720219466498816  
