# Email from Marcia Rieke, date on chart and email is 8/25/2022
# PHOTMJSR per detector, per filter
filter detector PHOTMJSR
F070W A1 4.971
F070W A2 5.051 
F070W A3 4.779
F070W A4 4.597
F070W B1 5.080 
F070W B2 5.063
F070W B3 4.940
F070W B4 4.597
F090W A1 3.695
F090W A2 3.744 
F090W A3 3.693
F090W A4 3.388
F090W B1 3.876
F090W B2 3.838
F090W B3 3.814
F090W B4 3.430
F115W A1 3.173
F115W A2 3.209
F115W A3 3.272
F115W A4 2.891
F115W B1 3.399
F115W B2 3.348
F115W B3 3.378
F115W B4 2.955
F150W A1 2.416
F150W A2 2.468
F150W A3 2.493
F150W A4 2.181
F150W B1 2.531
F150W B2 2.508
F150W B3 2.475
F150W B4 2.257
F200W A1 2.255 
F200W A2 2.323
F200W A3 2.243
F200W A4 2.056
F200W B1 2.284
F200W B2 2.235
F200W B3 2.246
F200W B4 2.071
F277W ALONG 0.465
F277W BLONG 0.424
F356W ALONG 0.402
F356W BLONG 0.375
F410M ALONG 0.822
F410M BLONG 0.820
F444W ALONG 0.355
F444W BLONG 0.338
