#Disperser	Filter	λpiv (Å)	σ′piv (km s−1)	α
#FS mode				
mode   disperser filter pivot_wavelength sigma_pivot uncert_sigma alpha uncert_alpha
FS G140M	F070LP	10111.02	124.84   2.37	0.676    0.147
FS G140H	F070LP	10111.02	50.44    0.44	0.500    0.083
FS G140M	F100LP	13347.24	94.99    5.10	0.899    0.054
FS G140H	F100LP	13347.24	40.63    2.25	0.703    0.082
FS G235M	F170LP	22765.89	101.07   1.12	0.478    0.018
FS G235H	F170LP	22765.89	40.20    0.12	0.479    0.005
FS G395M	F290LP	38474.54	102.95   0.52	0.220    0.018
FS G395H	F290LP	38474.54	40.48    1.04	0.340    0.061
#IFS mode				
IFS G140M	F100LP	13539.59	117.01   2.25	0.668    0.035
IFS G140H	F100LP	13539.59	46.36    1.05	0.699    0.036
IFS G235M	F170LP	22938.52	112.74   0.59	0.488    0.008
IFS G235H	F170LP	22938.52	42.75    0.28	0.398    0.010
IFS G395M	F290LP	38891.71	105.74   0.56	0.251    0.014
IFS G395H	F290LP	38891.71	41.98    0.70	0.239    0.026  
